id_catalog_product,reference,name,brand,color,season,sizes,gender_segment,main_category,sub_category,article_type,score_ec,quantity
1,15970,Turtle Check Men Navy Blue Shirt,Turtle Check,Navy Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,,7770
2,39386,Peter England Men Party Blue Jeans,Peter England,Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Jeans,,1360
3,59263,Titan Women Silver Watch,Titan,Silver,Winter,Unique,Women,Accessories,Watches,Watches,,5890
4,21379,Manchester United Men Solid Black Track Pants,Manchester United,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Track Pants,,5691
5,53759,Puma Men Grey T-shirt,Puma,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,,6234
6,1855,Inkfruit Mens Chain Reaction T-shirt,Inkfruit Mens Chain Reaction T-shirt,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,,6765
7,30805,Fabindia Men Striped Green Shirt,Fabindia,Green,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,,966
8,26960,Jealous 21 Women Purple Shirt,Jealous 21,Purple,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Shirts,,4926
9,29114,Puma Men Pack of 3 Socks,Puma,Navy Blue,Summer,Unique,Men,Accessories,Socks,Socks,,6078
10,30039,Skagen Men Black Watch,Skagen,Black,Winter,Unique,Men,Accessories,Watches,Watches,,8822
11,9204,Puma Men Future Cat Remix SF Black Casual Shoes,Puma,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,,2185
12,48123,Fossil Women Black Huarache Weave Belt,Fossil,Black,Summer,Unique,Women,Accessories,Belts,Belts,,1269
13,18653,Fila Men Cush Flex Black Slippers,Fila,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Flip Flops,Flip Flops,,7449
14,47957,Murcia Women Blue Handbag,Murcia,Blue,Summer,Unique,Women,Accessories,Bags,Handbags,,2933
15,46885,Ben 10 Boys Navy Blue Slippers,Ben 10,Navy Blue,Fall,"36,37,38,39,40,41,42,43,44,45",Boys,Footwear,Flip Flops,Flip Flops,,5811
16,12369,Reid & Taylor Men Check Purple Shirts,Reid & Taylor,Purple,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,,5551
17,29928,Police Men Black Dial Watch PL12889JVSB,Police,Black,Winter,Unique,Men,Accessories,Watches,Watches,,6920
18,42419,Gini and Jony Girls Knit White Top,Gini and Jony,White,Summer,"XS,S,M,L,XL",Girls,Apparel,Topwear,Tops,,1684
19,51832,Bwitch Beige Full-Coverage Bra BW335,Bwitch Beige Full-Coverage Bra BW335,Beige,Summer,"XS,S,M,L,XL",Women,Apparel,Innerwear,Bra,,5055
20,47359,Baggit Women Brown Handbag,Baggit,Brown,Summer,Unique,Women,Accessories,Bags,Handbags,,3885
21,17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,CASIO G-Shock,Black,Winter,Unique,Men,Accessories,Watches,Watches,,6896
22,12967,ADIDAS Men Spry M Black Sandals,ADIDAS,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Sandal,Sandals,,9166
23,6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland,Black,Summer,Unique,Unisex,Accessories,Shoe Accessories,Shoe Accessories,,9774
24,13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,ADIDAS,Grey,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Sweatshirts,,3058
25,18461,David Beckham Signature Men Deos,David Beckham Signature,White,Spring,Unique,Men,Personal Care,Fragrance,Deodorant,,8349
26,9036,Buckaroo Men Flores Black Formal Shoes,Buckaroo,Black,Winter,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Formal Shoes,,2547
27,48311,Pitaraa Women Bronze Beaded Bracelet,Pitaraa,Bronze,Winter,Unique,Women,Accessories,Jewellery,Bracelet,,3247
28,7990,Fila Men's Round Neck Navy Blue T-shirt,Fila,Navy Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,,9667
29,56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Brown,Spring,Unique,Women,Personal Care,Lips,Lipstick,,689
30,21977,Murcia Women Casual Brown Handbag,Murcia,Brown,Winter,Unique,Women,Accessories,Bags,Handbags,,3234
