id_catalog_product,reference,name,brand,color,season,sizes,gender_segment,main_category,sub_category,article_type,score_ec,quantity
1,15970,Turtle Check Men Navy Blue Shirt,Turtle Check,Navy Blue,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,7770
2,39386,Peter England Men Party Blue Jeans,Peter England,Blue,Summer,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Jeans,0,1360
3,59263,Titan Women Silver Watch,Titan,Silver,Winter,Unique,Women,Accessories,Watches,Watches,0,5890
4,21379,Manchester United Men Solid Black Track Pants,Manchester United,Black,Fall,"XS,S,M,L,XL",Men,Apparel,Bottomwear,Track Pants,0,5691
5,53759,Puma Men Grey T-shirt,Puma,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,6234
6,1855,Inkfruit Mens Chain Reaction T-shirt,Inkfruit Mens Chain Reaction T-shirt,Grey,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Tshirts,0,6765
7,30805,Fabindia Men Striped Green Shirt,Fabindia,Green,Summer,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,966
8,26960,Jealous 21 Women Purple Shirt,Jealous 21,Purple,Summer,"XS,S,M,L,XL",Women,Apparel,Topwear,Shirts,0,4926
9,29114,Puma Men Pack of 3 Socks,Puma,Navy Blue,Summer,Unique,Men,Accessories,Socks,Socks,0,6078
10,30039,Skagen Men Black Watch,Skagen,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,8822
11,9204,Puma Men Future Cat Remix SF Black Casual Shoes,Puma,Black,Summer,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Shoes,Casual Shoes,0,2185
12,48123,Fossil Women Black Huarache Weave Belt,Fossil,Black,Summer,Unique,Women,Accessories,Belts,Belts,0,1269
13,18653,Fila Men Cush Flex Black Slippers,Fila,Black,Fall,"36,37,38,39,40,41,42,43,44,45",Men,Footwear,Flip Flops,Flip Flops,0,7449
14,47957,Murcia Women Blue Handbag,Murcia,Blue,Summer,Unique,Women,Accessories,Bags,Handbags,0,2933
15,46885,Ben 10 Boys Navy Blue Slippers,Ben 10,Navy Blue,Fall,"36,37,38,39,40,41,42,43,44,45",Boys,Footwear,Flip Flops,Flip Flops,0,5811
16,12369,Reid & Taylor Men Check Purple Shirts,Reid & Taylor,Purple,Fall,"XS,S,M,L,XL",Men,Apparel,Topwear,Shirts,0,5551
17,29928,Police Men Black Dial Watch PL12889JVSB,Police,Black,Winter,Unique,Men,Accessories,Watches,Watches,0,6920
