id_stock,id_catalog_product,size_label,quantity_available
1,1,XS,1554
2,1,S,1554
3,1,M,1554
4,1,L,1554
5,1,XL,1554
6,2,XS,272
7,2,S,272
8,2,M,272
9,2,L,272
10,2,XL,272
11,3,Unique,5890
12,4,XS,1139
13,4,S,1138
14,4,M,1138
15,4,L,1138
16,4,XL,1138
17,5,XS,1247
18,5,S,1247
19,5,M,1247
20,5,L,1247
21,5,XL,1246
22,6,XS,1353
23,6,S,1353
24,6,M,1353
25,6,L,1353
26,6,XL,1353
27,7,XS,194
28,7,S,193
29,7,M,193
30,7,L,193
31,7,XL,193
32,8,XS,986
33,8,S,985
34,8,M,985
35,8,L,985
36,8,XL,985
37,9,Unique,6078
38,10,Unique,8822
39,11,36,219
40,11,37,219
41,11,38,219
42,11,39,219
43,11,40,219
44,11,41,218
45,11,42,218
46,11,43,218
47,11,44,218
48,11,45,218
49,12,Unique,1269
50,13,36,745
51,13,37,745
52,13,38,745
53,13,39,745
54,13,40,745
55,13,41,745
56,13,42,745
57,13,43,745
58,13,44,745
59,13,45,744
60,14,Unique,2933
61,15,36,582
62,15,37,581
63,15,38,581
64,15,39,581
65,15,40,581
66,15,41,581
67,15,42,581
68,15,43,581
69,15,44,581
70,15,45,581
71,16,XS,1111
72,16,S,1110
73,16,M,1110
74,16,L,1110
75,16,XL,1110
76,17,Unique,6920
77,18,XS,337
78,18,S,337
79,18,M,337
80,18,L,337
81,18,XL,336
82,19,XS,1011
83,19,S,1011
84,19,M,1011
85,19,L,1011
86,19,XL,1011
87,20,Unique,3885
88,21,Unique,6896
89,22,36,917
90,22,37,917
91,22,38,917
92,22,39,917
93,22,40,917
94,22,41,917
95,22,42,916
96,22,43,916
97,22,44,916
98,22,45,916
99,23,Unique,9774
100,24,XS,612
101,24,S,612
102,24,M,612
103,24,L,611
104,24,XL,611
105,25,36,835
106,25,37,835
107,25,38,835
108,25,39,835
109,25,40,835
110,25,41,835
111,25,42,835
112,25,43,835
113,25,44,835
114,25,45,834
115,26,Unique,2547
116,27,XS,650
117,27,S,650
118,27,M,649
119,27,L,649
120,27,XL,649
121,28,Unique,9667
122,29,XS,138
123,29,S,138
124,29,M,138
125,29,L,138
126,29,XL,137
127,30,XS,647
128,30,S,647
129,30,M,647
130,30,L,647
131,30,XL,646
132,31,XS,701
133,31,S,701
134,31,M,701
135,31,L,701
136,31,XL,701
137,32,36,516
138,32,37,516
139,32,38,516
140,32,39,516
141,32,40,516
142,32,41,516
143,32,42,516
144,32,43,516
145,32,44,515
146,32,45,515
147,33,36,240
148,33,37,240
149,33,38,240
150,33,39,240
151,33,40,240
152,33,41,240
153,33,42,240
154,33,43,240
155,33,44,240
156,33,45,239
157,34,XS,1647
158,34,S,1647
159,34,M,1647
160,34,L,1647
161,34,XL,1646
162,35,Unique,1767
163,36,Unique,2028
164,37,Unique,4056
165,38,XS,878
166,38,S,878
167,38,M,878
168,38,L,878
169,38,XL,878
170,39,Unique,9338
171,40,36,590
172,40,37,590
173,40,38,590
174,40,39,589
175,40,40,589
176,40,41,589
177,40,42,589
178,40,43,589
179,40,44,589
180,40,45,589
181,41,Unique,9292
182,42,XS,1787
183,42,S,1787
184,42,M,1787
185,42,L,1786
186,42,XL,1786
187,43,XS,1603
188,43,S,1603
189,43,M,1603
190,43,L,1602
191,43,XL,1602
192,44,36,312
193,44,37,312
194,44,38,311
195,44,39,311
196,44,40,311
197,44,41,311
198,44,42,311
199,44,43,311
200,44,44,311
201,44,45,311
202,45,XS,1509
203,45,S,1508
204,45,M,1508
205,45,L,1508
206,45,XL,1508
207,46,XS,1347
208,46,S,1347
209,46,M,1347
210,46,L,1347
211,46,XL,1347
212,47,XS,1198
213,47,S,1197
214,47,M,1197
215,47,L,1197
216,47,XL,1197
217,48,Unique,7599
218,49,Unique,1275
219,50,36,873
220,50,37,873
221,50,38,873
222,50,39,873
223,50,40,873
224,50,41,873
225,50,42,872
226,50,43,872
227,50,44,872
228,50,45,872
229,51,XS,731
230,51,S,731
231,51,M,730
232,51,L,730
233,51,XL,730
234,52,XS,417
235,52,S,417
236,52,M,417
237,52,L,417
238,52,XL,417
239,53,36,445
240,53,37,445
241,53,38,445
242,53,39,444
243,53,40,444
244,53,41,444
245,53,42,444
246,53,43,444
247,53,44,444
248,53,45,444
249,54,XS,1611
250,54,S,1611
251,54,M,1611
252,54,L,1611
253,54,XL,1611
254,55,XS,715
255,55,S,715
256,55,M,715
257,55,L,714
258,55,XL,714
259,56,XS,305
260,56,S,304
261,56,M,304
262,56,L,304
263,56,XL,304
264,57,Unique,4343
265,58,XS,1698
266,58,S,1698
267,58,M,1698
268,58,L,1698
269,58,XL,1697
270,59,XS,1475
271,59,S,1475
272,59,M,1475
273,59,L,1474
274,59,XL,1474
275,60,XS,1235
276,60,S,1235
277,60,M,1235
278,60,L,1235
279,60,XL,1235
280,61,Unique,661
281,62,Unique,4797
282,63,36,150
283,63,37,150
284,63,38,150
285,63,39,150
286,63,40,150
287,63,41,149
288,63,42,149
289,63,43,149
290,63,44,149
291,63,45,149
292,64,36,813
293,64,37,813
294,64,38,813
295,64,39,813
296,64,40,813
297,64,41,813
298,64,42,813
299,64,43,813
300,64,44,813
301,64,45,812
302,65,36,997
303,65,37,997
304,65,38,997
305,65,39,997
306,65,40,997
307,65,41,997
308,65,42,997
309,65,43,996
310,65,44,996
311,65,45,996
312,66,XS,304
313,66,S,303
314,66,M,303
315,66,L,303
316,66,XL,303
317,67,36,837
318,67,37,837
319,67,38,837
320,67,39,837
321,67,40,837
322,67,41,837
323,67,42,837
324,67,43,837
325,67,44,837
326,67,45,836
327,68,Unique,6939
328,69,36,840
329,69,37,840
330,69,38,839
331,69,39,839
332,69,40,839
333,69,41,839
334,69,42,839
335,69,43,839
336,69,44,839
337,69,45,839
338,70,XS,1473
339,70,S,1473
340,70,M,1473
341,70,L,1472
342,70,XL,1472
343,71,XS,1684
344,71,S,1683
345,71,M,1683
346,71,L,1683
347,71,XL,1683
348,72,XS,1806
349,72,S,1806
350,72,M,1806
351,72,L,1806
352,72,XL,1805
353,73,XS,276
354,73,S,276
355,73,M,276
356,73,L,275
357,73,XL,275
358,74,36,977
359,74,37,977
360,74,38,977
361,74,39,977
362,74,40,977
363,74,41,977
364,74,42,977
365,74,43,977
366,74,44,976
